Compiler	test	% mem	Size	Threads	Rate (MB/s)	Avg time	Min time	Max time	notes
ifc	Scale	85.000	9314354116	100	284724.4	0.5236	0.5234	0.5237	kestrel nodes
icc	Triad	 0.091	10000000	20	82331.8	0.002968	0.002915	0.002987	kestrel nodes
icc	Triad	 0.091	10000000	40	188238.9	0.001282	0.001275	0.00129	kestrel nodes
icc	Triad	 0.091	10000000	60	578162.2	0.000428	0.000415	0.000443	kestrel nodes
icc	Triad	 0.091	10000000	80	1726589.5	0.000181	0.000139	0.000212	kestrel nodes
icc	Triad	 0.091	10000000	100	3473819.1	8.2e-05	6.9e-05	0.000102	kestrel nodes
ifc	Triad	 0.183	20000000	20	77708.3	0.0062	0.0062	0.0062	kestrel nodes
ifc	Triad	 0.183	20000000	40	160113.4	0.003	0.003	0.0031	kestrel nodes
ifc	Triad	 0.183	20000000	60	255977.9	0.0019	0.0019	0.0019	kestrel nodes
ifc	Triad	 0.183	20000000	80	370630.7	0.0013	0.0013	0.0013	kestrel nodes
ifc	Triad	 0.183	20000000	100	541783.1	0.0009	0.0009	0.0009	kestrel nodes
icc	Triad	85.000	9314354116	20	73393.9	3.04681	3.045819	3.048366	kestrel nodes
icc	Triad	85.000	9314354116	40	114764.9	1.948389	1.947847	1.949035	kestrel nodes
icc	Triad	85.000	9314354116	60	157872.2	1.416339	1.415984	1.416732	kestrel nodes
icc	Triad	85.000	9314354116	80	198065.5	1.128915	1.128639	1.129172	kestrel nodes
icc	Triad	85.000	9314354116	100	364353.7	0.613874	0.613537	0.614231	kestrel nodes
ifc	Triad	85.000	9314354116	20	71698.0	3.1193	3.1179	3.1209	kestrel nodes
ifc	Triad	85.000	9314354116	40	115153.0	1.9417	1.9413	1.9422	kestrel nodes
ifc	Triad	85.000	9314354116	60	160362.6	1.3945	1.394	1.3952	kestrel nodes
ifc	Triad	85.000	9314354116	80	199646.8	1.1202	1.1197	1.1205	kestrel nodes
ifc	Triad	85.000	9314354116	100	370379.7	0.6037	0.6036	0.6039	kestrel nodes
